area_type_code,area_code,area_text,state,state_id,area_fips_id
2,CN0100100000000,Autauga County,AL,01,01001
2,CN0100300000000,Baldwin County,AL,01,01003
2,CN0100500000000,Barbour County,AL,01,01005
2,CN0100700000000,Bibb County,AL,01,01007
2,CN0100900000000,Blount County,AL,01,01009
2,CN0101100000000,Bullock County,AL,01,01011
2,CN0101300000000,Butler County,AL,01,01013
2,CN0101500000000,Calhoun County,AL,01,01015
2,CN0101700000000,Chambers County,AL,01,01017
2,CN0101900000000,Cherokee County,AL,01,01019
2,CN0102100000000,Chilton County,AL,01,01021
2,CN0102300000000,Choctaw County,AL,01,01023
2,CN0102500000000,Clarke County,AL,01,01025
2,CN0102700000000,Clay County,AL,01,01027
2,CN0102900000000,Cleburne County,AL,01,01029
2,CN0103100000000,Coffee County,AL,01,01031
2,CN0103300000000,Colbert County,AL,01,01033
2,CN0103500000000,Conecuh County,AL,01,01035
2,CN0103700000000,Coosa County,AL,01,01037
2,CN0103900000000,Covington County,AL,01,01039
2,CN0104100000000,Crenshaw County,AL,01,01041
2,CN0104300000000,Cullman County,AL,01,01043
2,CN0104500000000,Dale County,AL,01,01045
2,CN0104700000000,Dallas County,AL,01,01047
2,CN0104900000000,DeKalb County,AL,01,01049
2,CN0105100000000,Elmore County,AL,01,01051
2,CN0105300000000,Escambia County,AL,01,01053
2,CN0105500000000,Etowah County,AL,01,01055
2,CN0105700000000,Fayette County,AL,01,01057
2,CN0105900000000,Franklin County,AL,01,01059
2,CN0106100000000,Geneva County,AL,01,01061
2,CN0106300000000,Greene County,AL,01,01063
2,CN0106500000000,Hale County,AL,01,01065
2,CN0106700000000,Henry County,AL,01,01067
2,CN0106900000000,Houston County,AL,01,01069
2,CN0107100000000,Jackson County,AL,01,01071
2,CN0107300000000,Jefferson County,AL,01,01073
2,CN0107500000000,Lamar County,AL,01,01075
2,CN0107700000000,Lauderdale County,AL,01,01077
2,CN0107900000000,Lawrence County,AL,01,01079
2,CN0108100000000,Lee County,AL,01,01081
2,CN0108300000000,Limestone County,AL,01,01083
2,CN0108500000000,Lowndes County,AL,01,01085
2,CN0108700000000,Macon County,AL,01,01087
2,CN0108900000000,Madison County,AL,01,01089
2,CN0109100000000,Marengo County,AL,01,01091
2,CN0109300000000,Marion County,AL,01,01093
2,CN0109500000000,Marshall County,AL,01,01095
2,CN0109700000000,Mobile County,AL,01,01097
2,CN0109900000000,Monroe County,AL,01,01099
2,CN0110100000000,Montgomery County,AL,01,01101
2,CN0110300000000,Morgan County,AL,01,01103
2,CN0110500000000,Perry County,AL,01,01105
2,CN0110700000000,Pickens County,AL,01,01107
2,CN0110900000000,Pike County,AL,01,01109
2,CN0111100000000,Randolph County,AL,01,01111
2,CN0111300000000,Russell County,AL,01,01113
2,CN0111500000000,St. Clair County,AL,01,01115
2,CN0111700000000,Shelby County,AL,01,01117
2,CN0111900000000,Sumter County,AL,01,01119
2,CN0112100000000,Talladega County,AL,01,01121
2,CN0112300000000,Tallapoosa County,AL,01,01123
2,CN0112500000000,Tuscaloosa County,AL,01,01125
2,CN0112700000000,Walker County,AL,01,01127
2,CN0112900000000,Washington County,AL,01,01129
2,CN0113100000000,Wilcox County,AL,01,01131
2,CN0113300000000,Winston County,AL,01,01133
2,CN0201300000000,Aleutians East Borough,AK,02,02013
2,CN0201600000000,Aleutians West Census Area,AK,02,02016
2,CN0202000000000,Anchorage Borough,AK,02,02020
2,CN0205000000000,Bethel Census Area,AK,02,02050
2,CN0206000000000,Bristol Bay Borough,AK,02,02060
2,CN0206800000000,Denali Borough,AK,02,02068
2,CN0207000000000,Dillingham Census Area,AK,02,02070
2,CN0209000000000,Fairbanks North Star Borough,AK,02,02090
2,CN0210000000000,Haines Borough,AK,02,02100
2,CN0210500000000,Hoonah-Angoon Census Area,AK,02,02105
2,CN0211000000000,Juneau Borough/city,AK,02,02110
2,CN0212200000000,Kenai Peninsula Borough,AK,02,02122
2,CN0213000000000,Ketchikan Gateway Borough,AK,02,02130
2,CN0215000000000,Kodiak Island Borough,AK,02,02150
2,CN0216400000000,Lake and Peninsula Borough,AK,02,02164
2,CN0217000000000,Matanuska-Susitna Borough,AK,02,02170
2,CN0218000000000,Nome Census Area,AK,02,02180
2,CN0218500000000,North Slope Borough,AK,02,02185
2,CN0218800000000,Northwest Arctic Borough,AK,02,02188
2,CN0219500000000,Petersburg Census Area,AK,02,02195
2,CN0219800000000,Prince of Wales-Hyder Census Area,AK,02,02198
2,CN0220100000000,Prince of Wales-Outer Ketchikan Census Area,AK,02,02201
2,CN0222000000000,Sitka Borough,AK,02,02220
2,CN0223000000000,Skagway Municipality,AK,02,02230
2,CN0223200000000,Skagway-Hoonah-Angoon Census Area,AK,02,02232
2,CN0224000000000,Southeast Fairbanks Census Area,AK,02,02240
